Audience segment report
"April 18, 2023 - October 8, 2023"
Segment status,Audience segment,Type,Campaign,Ad group,Status,Status reasons,Level,Bid adj.,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,Baseball Fans,Affinity segment,Campaign #1, --,Not eligible,Campaign paused,Campaign, +0%,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Sports & Fitness,In-market segment,Campaign #1, --,Not eligible,Campaign paused,Campaign, +15%,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Children's Apparel,In-market segment,Campaign #1, --,Not eligible,Campaign paused,Campaign, +0%,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Back-to-School Apparel & Accessories,In-market segment,Campaign #1, --,Not eligible,Campaign paused,Campaign, +0%,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Eyewear,In-market segment,Campaign #1, --,Not eligible,Campaign paused,Campaign, +0%,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Shoes,In-market segment,Campaign #1, --,Not eligible,Campaign paused,Campaign, +0%,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Swimming Enthusiasts,Affinity segment,Campaign #1, --,Not eligible,Campaign paused,Campaign, +0%,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Baby & Children's Apparel,In-market segment,Campaign #1, --,Not eligible,Campaign paused,Campaign, +0%,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Men's Apparel,In-market segment,Campaign #1, --,Not eligible,Campaign paused,Campaign, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Women's Media Fans,Affinity segment,Campaign #1, --,Not eligible,Campaign paused,Campaign, +0%,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Outerwear,In-market segment,Campaign #1, --,Not eligible,Campaign paused,Campaign, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Baby & Toddler Apparel,In-market segment,Campaign #1, --,Not eligible,Campaign paused,Campaign, +0%,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Athletic Shoes,In-market segment,Campaign #1, --,Not eligible,Campaign paused,Campaign, +0%,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
